번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009645,2020년,01월,서울,강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,일반,,1545.13,1427.06,1150.0
A0000725,2020년,01월,서울,은평구,불광주유소,서울 은평구 연서로 314 (불광동),현대오일뱅크,셀프,,1545.1,1385.1,
A0000833,2020년,01월,서울,구로구,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,일반,,1587.03,1436.71,1210.0
A0000908,2020년,01월,서울,서초구,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,일반,1799.0,1647.0,1497.0,1155.0
A0000812,2020년,01월,서울,구로구,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),SK에너지,일반,,1589.9,1419.9,1088.71
A0009861,2020년,01월,서울,서초구,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),S-OIL,셀프,1738.97,1588.97,1488.97,
A0032712,2020년,01월,서울,구로구,개봉주유소,서울 구로구 고척로 115 (개봉동),현대오일뱅크,셀프,,1575.1,1404.77,1100.0
A0000826,2020년,01월,서울,구로구,JHC에너지,서울 구로구 시흥대로 539,알뜰주유소,일반,,1564.42,1384.42,1100.0
A0000323,2020년,01월,서울,영등포구,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,셀프,,1570.48,1421.26,
A0000792,2020년,01월,서울,구로구,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,일반,,2064.0,1918.0,1376.0
A0009907,2020년,01월,서울,서초구,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,셀프,1824.42,1697.0,1528.94,
A0000791,2020년,01월,서울,구로구,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,일반,,1675.0,1531.77,1210.0
A0033149,2020년,01월,서울,구로구,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,셀프,,1544.77,1365.16,
A0009881,2020년,01월,서울,서초구,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,일반,,1571.39,1417.26,
A0000683,2020년,01월,서울,은평구,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,셀프,1728.06,1595.42,1437.35,
A0000745,2020년,01월,서울,은평구,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,셀프,,1586.0,1428.0,
A0006667,2020년,01월,서울,구로구,근린공원주유소,서울 구로구 고척로 199 (고척동),S-OIL,일반,,1546.9,1384.0,
A0009889,2020년,01월,서울,서초구,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,GS칼텍스,일반,1776.45,1606.1,1460.81,1200.0
A0000346,2020년,01월,서울,영등포구,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GS칼텍스,일반,,1573.84,1399.0,1095.48
A0009920,2020년,01월,서울,서초구,헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),GS칼텍스,셀프,1776.77,1606.45,1461.1,1200.0
A0009322,2020년,01월,서울,광진구,평안주유소,서울 광진구 천호대로 630 (능동),알뜰주유소,일반,,1541.74,1362.39,
A0000873,2020년,01월,서울,서초구,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,셀프,1763.16,1578.0,1457.03,
A0000444,2020년,01월,서울,영등포구,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,셀프,,1529.0,1359.0,
A0009421,2020년,01월,서울,광진구,현대오일뱅크(주) 중원셀프주유소,서울 광진구 동일로 398 (중곡동),현대오일뱅크,셀프,1792.0,1553.77,1373.77,1200.0
A0000687,2020년,01월,서울,은평구,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,셀프,,1586.0,1428.0,990.0
A0000849,2020년,01월,서울,구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,셀프,,1532.03,1362.03,
A0009765,2020년,01월,서울,광진구,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),현대오일뱅크,셀프,1673.0,1541.74,1362.06,1000.0
A0009351,2020년,01월,서울,광진구,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),현대오일뱅크,셀프,1792.0,1553.77,1373.77,
A0011953,2020년,01월,서울,서초구,크로바주유소,서울 서초구 효령로 327 (서초동),SK에너지,일반,1939.0,1689.0,1585.0,
A0009358,2020년,01월,서울,광진구,현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),SK에너지,셀프,,1599.39,1448.35,
A0000680,2020년,01월,서울,은평구,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,셀프,1800.0,1579.0,1419.0,
A0000844,2020년,01월,서울,구로구, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,현대오일뱅크,셀프,1747.42,1564.77,1385.42,
A0000890,2020년,01월,서울,서초구,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,일반,1765.0,1579.0,1434.0,
A0011816,2020년,01월,서울,서초구,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,셀프,,1578.35,1424.1,
